館浜,1000,0
館浜,0,0
駒野,1712.65,0
駒野,1375.292,0
駒野,1374.167,0.1
駒野,1373.016,0.2
駒野,1372.038,0.2
駒野,1371.053,0.3
駒野,1370.09,0.4
駒野,1368.922,0.4
駒野,1367.741,0.5
駒野,1366.756,0.6
駒野,1365.779,0.7
駒野,1364.667,0.7
駒野,1363.703,0.8
駒野,1362.511,0.9
駒野,1361.713,1
駒野,1360.498,1
駒野,1359.529,1
駒野,1358.362,1
駒野,1357.334,1.1
駒野,1356.24,1.2
駒野,1355.296,1.3
駒野,1354.141,1.5
駒野,1353.167,1.6
駒野,1352.023,1.8
駒野,1351.041,2.1
駒野,1350.029,2.3
駒野,1348.83,2.6
駒野,1347.848,2.9
駒野,1346.852,3.2
駒野,1345.849,3.5
駒野,1344.632,3.9
駒野,1343.645,4.1
駒野,1342.649,4.4
駒野,1341.644,4.7
駒野,1340.598,4.9
駒野,1339.558,5.2
駒野,1338.354,5.5
駒野,1337.342,5.8
駒野,1336.379,6
駒野,1335.225,6.3
駒野,1334.261,6.6
駒野,1333.116,6.9
駒野,1332.147,7.1
駒野,1330.985,7.4
駒野,1330.015,7.8
駒野,1328.867,8.1
駒野,1327.877,8.5
駒野,1326.918,8.8
駒野,1325.772,9.2
駒野,1324.77,9.5
駒野,1323.772,9.8
駒野,1322.606,10.2
駒野,1321.622,10.5
駒野,1320.423,10.9
駒野,1319.415,11.3
駒野,1318.386,11.6
駒野,1317.438,11.9
駒野,1316.285,12.3
駒野,1315.307,12.6
駒野,1314.356,12.9
駒野,1314.161,13
駒野,1312.077,13.7
駒野,1310.956,14.1
駒野,1309.938,14.4
駒野,1308.919,14.7
駒野,1307.799,15.1
駒野,1306.781,15.4
駒野,1305.763,15.8
駒野,1304.744,16.1
駒野,1303.726,16.5
駒野,1302.505,16.9
駒野,1301.487,17.2
駒野,1300.469,17.5
駒野,1299.553,17.8
駒野,1298.433,18.2
駒野,1297.314,18.6
駒野,1296.296,18.9
駒野,1295.279,19.3
駒野,1294.261,19.6
駒野,1293.142,20
駒野,1292.124,20.3
駒野,1291.005,20.7
駒野,1290.09,21
駒野,1288.869,21.4
駒野,1287.852,21.7
駒野,1286.835,22.1
駒野,1285.818,22.4
駒野,1284.802,22.7
駒野,1283.785,23.1
駒野,1282.768,23.4
駒野,1281.65,23.8
駒野,1280.634,24.1
駒野,1279.618,24.4
駒野,1278.398,24.9
駒野,1277.382,25.2
駒野,1276.366,25.5
駒野,1275.35,25.9
駒野,1274.335,26.2
駒野,1273.319,26.4
駒野,1272.202,26.7
駒野,1271.186,27
駒野,1270.171,27.2
駒野,1269.054,27.4
駒野,1268.039,27.5
駒野,1267.227,27.6
駒野,1265.976,27.7
駒野,1265.016,27.8
駒野,1263.952,27.9
駒野,1262.904,27.9
駒野,1261.885,27.9
駒野,1260.681,27.9
駒野,1259.671,27.9
駒野,1258.685,27.9
駒野,1257.483,27.9
駒野,1256.488,27.9
駒野,1255.476,27.9
駒野,1254.471,27.9
駒野,1253.302,27.9
駒野,1252.314,27.9
駒野,1251.315,27.9
駒野,1250.312,27.9
駒野,1249.336,27.9
駒野,1248.325,27.9
駒野,1247.131,27.9
駒野,1246.023,27.9
駒野,1245.05,27.9
駒野,1244.081,27.9
駒野,1242.915,27.9
駒野,1241.983,27.9
駒野,1240.842,27.9
駒野,1239.743,27.9
駒野,1238.798,27.9
駒野,1237.669,27.9
駒野,1236.669,27.9
駒野,1235.683,27.9
駒野,1234.509,27.9
駒野,1233.527,27.9
駒野,1232.545,27.9
駒野,1231.401,27.9
駒野,1230.445,27.9
駒野,1229.289,27.9
駒野,1228.33,27.9
駒野,1227.39,27.9
駒野,1226.231,27.9
駒野,1225.274,27.9
駒野,1224.13,27.9
駒野,1223.111,27.9
駒野,1222.119,27.9
駒野,1221.009,27.9
駒野,1220.062,27.9
駒野,1218.93,27.9
駒野,1217.967,27.9
駒野,1216.864,27.9
駒野,1215.906,27.9
駒野,1214.92,27.9
駒野,1213.677,27.9
駒野,1212.665,27.9
駒野,1211.628,27.9
駒野,1210.585,27.9
駒野,1209.558,27.9
駒野,1208.515,27.9
駒野,1207.494,27.9
駒野,1206.449,27.9
駒野,1205.385,27.9
駒野,1204.365,27.9
駒野,1203.369,27.9
駒野,1202.364,27.9
駒野,1201.33,27.9
駒野,1200.321,27.9
駒野,1199.132,27.9
駒野,1198.117,27.9
駒野,1197.077,27.9
駒野,1196.048,27.9
駒野,1195.064,27.9
駒野,1194.061,27.9
駒野,1193.062,27.9
駒野,1191.86,27.9
駒野,1190.873,27.9
駒野,1189.882,27.9
駒野,1188.869,27.9
